player_id,player_name,recent_team,Pos
00-0034364,J.Akins,HOU,TE
00-0027061,J.Cook,LAC,TE
00-0030181,J.Doyle,IND,TE
00-0027696,J.Graham,CHI,TE
00-0036040,J.Johnson,NO,TE
00-0035249,J.Oliver,BAL,TE
00-0031951,J.O'Shaughnessy,JAX,TE
00-0033858,J.Smith,NE,TE
00-0035510,J.Smith,NYJ,TE
00-0036970,K.Pitts,ATL,TE
00-0027981,K.Rudolph,NYG,TE
00-0031260,L.Thomas,WAS,TE
00-0033217,M.Alie-Cox,IND,TE
00-0034753,M.Andrews,BAL,TE
00-0034829,M.Gesicki,MIA,TE
00-0024243,M.Lewis,GB,TE
00-0035644,N.Fant,DEN,TE
00-0033439,P.Brown,HOU,TE
00-0036894,P.Freiermuth,PIT,TE
00-0030108,R.Griffin,NYJ,TE
00-0027656,R.Gronkowski,TB,TE
00-0033757,R.Tonyan,GB,TE
00-0032725,S.Anderson,LAC,TE
00-0033009,T.Boyd,CIN,TE
00-0034270,T.Conklin,MIN,TE
00-0033110,T.Higbee,LA,TE
00-0033357,T.Hill,NO,TE
00-0035229,T.Hockenson,DET,TE
00-0030506,T.Kelce,KC,TE
00-0032214,T.Kroft,NYJ,TE
00-0034159,W.Dissly,SEA,TE
00-0030061,Z.Ertz,PHI,TE
00-0035222,Z.Gentry,PIT,TE
00-0027793,A.Brown,TB,WR
00-0035676,A.Brown,TEN,WR
00-0031544,A.Cooper,DAL,WR
00-0027942,A.Green,ARI,WR
00-0032009,A.Humphries,WAS,WR
00-0034521,A.Lazard,GB,WR
00-0031428,A.Robinson,CHI,WR
00-0036999,A.Schwartz,CLE,WR
00-0036963,A.St. Brown,DET,WR
00-0030035,A.Thielen,MIN,WR
00-0030669,A.Wilson,MIA,WR
00-0036991,Am.Rodgers,GB,WR
00-0034419,B.Berrios,NYJ,WR
00-0031236,B.Cooks,HOU,WR
00-0036365,B.Edwards,LV,WR
00-0034297,B.Pringle,KC,WR
00-0029000,C.Beasley,BUF,WR
00-0033367,C.Board,NYG,WR
00-0036326,C.Claypool,PIT,WR
00-0032128,C.Conley,HOU,WR
00-0033871,C.Davis,NYJ,WR
00-0033921,C.Godwin,TB,WR
00-0028237,C.Hogan,NO,WR
00-0034775,C.Kirk,ARI,WR
00-0033908,C.Kupp,LA,WR
00-0036358,C.Lamb,DAL,WR
00-0030578,C.Patterson,ATL,WR
00-0034837,C.Ridley,ATL,WR
00-0032355,C.Rogers,TEN,WR
00-0034104,C.Sims,WAS,WR
00-0034348,C.Sutton,DEN,WR
00-0034418,C.Wilson,DAL,WR
00-0031381,D.Adams,GB,WR
00-0026035,D.Amendola,HOU,WR
00-0036626,D.Brown,WAS,WR
00-0031868,D.Byrd,CHI,WR
00-0034777,D.Chark,JAX,WR
00-0036331,D.Duvernay,BAL,WR
00-0036620,D.Eskridge,SEA,WR
00-0035215,D.Harris,NO,WR
00-0030564,D.Hopkins,ARI,WR
00-0026189,D.Jackson,LA,WR
00-0035216,D.Johnson,PIT,WR
00-0035640,D.Metcalf,SEA,WR
00-0036255,D.Mims,NYJ,WR
00-0036309,D.Mooney,CHI,WR
00-0031547,D.Parker,MIA,WR
00-0036233,D.Peoples-Jones,CLE,WR
00-0032775,D.Robinson,KC,WR
00-0035719,D.Samuel,SF,WR
00-0035535,D.Slayton,NYG,WR
00-0036912,D.Smith,PHI,WR
00-0031934,D.Smith,JAX,WR
00-0033839,D.Westbrook,MIN,WR
00-0034827,Dj.Moore,CAR,WR
00-0036980,E.Moore,NYJ,WR
00-0027685,E.Sanders,BUF,WR
00-0036247,F.Swain,SEA,WR
00-0036196,G.Davis,BUF,WR
00-0034983,H.Renfrow,LV,WR
00-0036357,H.Ruggs,LV,WR
00-0033466,I.McKenzie,BUF,WR
00-0036900,J.Chase,CIN,WR
00-0035414,J.Guyton,LAC,WR
00-0036407,J.Jeudy,DEN,WR
00-0027944,J.Jones,TEN,WR
00-0031382,J.Landry,CLE,WR
00-0034960,J.Meyers,NE,WR
