Player,Team,Bye,Pos,Pos Rank,ADP,Rank
Jared Cook,LAC,7,TE,TE19,174.8,163
Justin Jackson,LAC,7,RB,RB70,236.3,235
Josh Palmer,LAC,7,WR,WR81,223.5,241
Joshua Kelley,LAC,7,RB,RB74,227,245
Michael Badgley,LAC,7,K,K17,261.3,253
Stephen Anderson,LAC,7,TE,TE37,309,324
Jalen Guyton,LAC,7,WR,WR117,339,349
Donald Parham Jr.,LAC,7,TE,TE38,350,360
Robert Woods,LAR,11,WR,WR17,46.3,45
Cooper Kupp,LAR,11,WR,WR19,55,52
Darrell Henderson,LAR,11,RB,RB26,61.3,61
Matthew Stafford,LAR,11,QB,QB11,86.5,84
Tyler Higbee,LAR,11,TE,TE13,132.3,131
Xavier Jones,LAR,11,RB,RB53,156.7,172
Matt Gay,LAR,11,K,K16,234.3,230
Austin MacGinnis,LAR,11,K,K20,238,280
DeSean Jackson,LAR,11,WR,WR92,260,281
Jake Funk,LAR,11,RB,RB85,249,286
Van Jefferson,LAR,11,WR,WR108,324,334
Tutu Atwell,LAR,11,WR,WR119,341,351
Josh Jacobs,LV,8,RB,RB16,28.5,27
Darren Waller,LV,8,TE,TE3,28.8,28
Kenyan Drake,LV,8,RB,RB40,103.5,105
Henry Ruggs III,LV,8,WR,WR50,126.5,123
Derek Carr,LV,8,QB,QB24,194.5,176
Daniel Carlson,LV,8,K,K10,208.5,186
Bryan Edwards,LV,8,WR,WR70,201.3,199
John Brown,LV,8,WR,WR72,170,203
Jalen Richard,LV,8,RB,RB82,235,277
Marcus Mariota,LV,8,QB,QB38,320,330
Hunter Renfrow,LV,8,WR,WR107,323,333
Myles Gaskin,MIA,14,RB,RB22,47.3,47
Will Fuller V,MIA,14,WR,WR41,102,101
Jaylen Waddle,MIA,14,WR,WR45,116.3,113
Mike Gesicki,MIA,14,TE,TE12,121.8,116
DeVante Parker,MIA,14,WR,WR52,139.3,136
Jason Sanders,MIA,14,K,K5,161.5,154
Tua Tagovailoa,MIA,14,QB,QB22,167.5,158
Malcolm Brown,MIA,14,RB,RB62,211.7,206
Salvon Ahmed,MIA,14,RB,RB68,209,228
Preston Williams,MIA,14,WR,WR116,338,348
Lynn Bowden Jr.,MIA,14,WR,WR118,340,350
Dalvin Cook,MIN,7,RB,RB2,2,2
Justin Jefferson,MIN,7,WR,WR8,25.5,25
Adam Thielen,MIN,7,WR,WR16,45.5,44
Alexander Mattison,MIN,7,RB,RB47,135.3,133
Irv Smith Jr.,MIN,7,TE,TE16,141.8,141
Kirk Cousins,MIN,7,QB,QB18,149.8,149
Ameer Abdullah,MIN,7,RB,RB95,293,312
Damien Harris,NE,14,RB,RB32,77.5,76
Hunter Henry,NE,14,TE,TE15,139.3,137
Jonnu Smith,NE,14,TE,TE17,146.5,146
Sony Michel,NE,14,RB,RB55,193,175
Nelson Agholor,NE,14,WR,WR60,198.3,178
James White,NE,14,RB,RB60,193.3,193
Cam Newton,NE,14,QB,QB25,211.7,205
Rhamondre Stevenson,NE,14,RB,RB63,217,210
Jakobi Meyers,NE,14,WR,WR78,240.7,223
Mac Jones,NE,14,QB,QB33,269,290
Kendrick Bourne,NE,14,WR,WR111,329,339
N'Keal Harry,NE,14,WR,WR121,343,353
Devin Smith,NE,14,WR,WR123,346,356
Alvin Kamara,NO,6,RB,RB4,4,4
Michael Thomas,NO,6,WR,WR26,66.3,69
Latavius Murray,NO,6,RB,RB43,125.5,122
Adam Trautman,NO,6,TE,TE20,178.8,164
Marquez Callaway,NO,6,WR,WR63,181.3,183
Tre'Quan Smith,NO,6,WR,WR73,208.3,204
Wil Lutz,NO,6,K,K12,212.3,207
Jameis Winston,NO,6,QB,QB27,227.3,221
Taysom Hill,NO,6,QB,QB29,208.5,227
Deonte Harris,NO,6,WR,WR101,291,310
Saquon Barkley,NYG,10,RB,RB7,8,8
Kenny Golladay,NYG,10,WR,WR23,64.5,65
Evan Engram,NYG,10,TE,TE14,136,134
Sterling Shepard,NYG,10,WR,WR61,174.7,180
Devontae Booker,NYG,10,RB,RB66,218.3,215
Kadarius Toney,NYG,10,WR,WR77,198,219
Darius Slayton,NYG,10,WR,WR79,213.5,234
Daniel Jones,NYG,10,QB,QB30,234.5,252
Graham Gano,NYG,10,K,K23,294,313
Michael Carter,NYJ,6,RB,RB34,83.8,80
Corey Davis,NYJ,6,WR,WR48,122.8,118
Elijah Moore,NYJ,6,WR,WR57,153.7,170
Tevin Coleman,NYJ,6,RB,RB54,161,173
Jamison Crowder,NYJ,6,WR,WR71,166,200
Zach Wilson,NYJ,6,QB,QB28,205.5,225
La'Mical Perine,NYJ,6,RB,RB75,233.5,250
Denzel Mims,NYJ,6,WR,WR85,236,254
Keelan Cole Sr.,NYJ,6,WR,WR112,333,343
Miles Sanders,PHI,14,RB,RB20,34.5,35
DeVonta Smith,PHI,14,WR,WR33,85.8,83
Jalen Hurts,PHI,14,QB,QB12,89.8,88
Dallas Goedert,PHI,14,TE,TE8,96.5,96
Zach Ertz,PHI,14,TE,TE18,166,157
Jalen Reagor,PHI,14,WR,WR65,186,189
Kenneth Gainwell,PHI,14,RB,RB59,190.3,191
Boston Scott,PHI,14,RB,RB69,212.5,232
Jake Elliott,PHI,14,K,K18,259,260
Travis Fulgham,PHI,14,WR,WR93,249,285
Kerryon Johnson,PHI,14,RB,RB89,274.5,297
Najee Harris,PIT,7,RB,RB11,16,16
